column A,count,category,Product Listing Page,About Page,notes
absolutelypsychic.com,9,standalone_domain,https://www.absolutelypsychic.com/psychic.php?tools=psychic,,
transcendrealities.com,8,other,,,dead link
threadless.com,8,other,,,threadless generic shop site
thenajmahal.com,8,standalone_domain,https://www.thenajmahal.com/shoptemple,https://www.thenajmahal.com/about,
themanifestit.com,8,standalone_domain,,https://themanifestit.com/about-jaclyn-johnston/,
theinspirationjournal.com,8,other,,,404 error
thegivermethod.com,8,standalone_domain,https://www.thegivermethod.com/booking,https://www.thegivermethod.com/about,
tealswan.com,8,standalone_domain,https://shop.tealswan.com/,https://tealswan.com/about-teal/,
tantricdivination.com,8,other,,,expired site
realresultsbyandy.com,8,standalone_domain,https://www.realresultsbyandy.com/services,https://www.realresultsbyandy.com/about-andy,
people1stmetaphysics.com,8,standalone_domain,https://people1stmetaphysics.com/collections/all,,
michellebeltran.com,8,standalone_domain,https://michellebeltran.com/shop/,https://michellebeltran.com/meet-michelle-new/,
kelleyrosano.com,8,standalone_domain,https://kelleyrosano.com/shop/,https://kelleyrosano.com/about-me/,
jimkochsurrender.com,8,other,,,defunct
goldenmastermind.com,8,standalone_domain,https://www.goldenmastermind.com/shop/,https://www.goldenmastermind.com/about/,
fabmindbodyspirit.com,8,standalone_domain,https://www.fabmindbodyspirit.com/store-1,https://www.fabmindbodyspirit.com/about,
exotictarots.com,8,other,,,dead link?
biddytarot.com,8,standalone_domain,https://biddytarot.com/shop/,https://biddytarot.com/about/,
animaframework.com,8,other,,,defunct
agentfromabundance.com,8,standalone_domain,https://www.agentfromabundance.com/services/agents_brokers_trainers,https://www.agentfromabundance.com/about_us,
zodicool.com,7,standalone_domain,https://www.zodicool.com/shop/,,
xtremeticketing.com,7,other,,,not related
vanessamariedewsbury.com,7,standalone_domain,https://www.vanessamariedewsbury.com/reikibarrie.html,https://www.vanessamariedewsbury.com/,
theleap.co,7,other,,,not related
thebeardedmysticpodcast.com,7,standalone_domain,https://www.thebeardedmysticpodcast.com/spiritual-discussion/,https://www.thebeardedmysticpodcast.com/about/,
tarotbyhic.net,7,standalone_domain,https://www.tarotbyhic.net/schedule,,
silverdragongables.com,7,standalone_domain,https://silverdragongables.com/SERVICES.php,https://silverdragongables.com/ABOUT-US.php,
sheevaunmoran.com,7,standalone_domain,https://www.sheevaunmoran.net/sales-page9cnqv5h8,https://sheevaunmoran.com/about,
serenitywears.com,7,other,,,not related
sagereality11.com,7,standalone_domain,https://sagereality11.com/shop/,https://sagereality11.com/start-here/,
revivalofwisdom.com,7,standalone_domain,https://revivalofwisdom.com/collections/english-products,,
reams.us,7,other,,,404 error
piscespsychiclenormand.com,7,standalone_domain,https://www.piscespsychiclenormand.com/piscesmysticemporium,https://www.piscespsychiclenormand.com/about,
pinksapothecary.com,7,other,,,defunct
paparazziaccessories.com,7,other,,,not related to topic
paintingwithatwist.com,7,other,,,not related to topic
nixienikkimagickalcreations.com,7,other,,,firewall blocked
nicolemantilla.com,7,standalone_domain,https://nicolemantilla.com/courses,https://nicolemantilla.com/aboutme,
mysticalmasteryarts.com,7,standalone_domain,,https://www.mysticalmasteryarts.com/about,
mpoweryourlife.com,7,other,,,defunct
mediumnicole.com,7,standalone_domain,https://mediumnicole.com/private-readings,,
lonniechavoncomforts.com,7,other,,,more related to health & wellness
lemairesoulcrafts.com,7,standalone_domain,https://lemairesoulcrafts.com/courses/,https://lemairesoulcrafts.com/about-me/,
keen.com,7,standalone_domain,,,
joyfulmedium.com,7,standalone_domain,https://www.joyfulmedium.com/work-with-me,https://www.joyfulmedium.com/about,
javiersoriano.com,7,other,,,not related
hellobluma.com,7,standalone_domain,,https://www.hellobluma.com/,
galactic-intuitive.com,7,standalone_domain,https://www.galactic-intuitive.com/work-with-me,https://www.galactic-intuitive.com/,
fengshuiamm.com,7,standalone_domain,,https://fengshuiamm.com/about-me,
dianapalm.com,7,standalone_domain,,,
dawnchurchill.org,7,standalone_domain,https://dawnchurchill.org/transformative-coaching/,https://dawnchurchill.org/about-dawn/,
